image,image_tag,image_repo,image_digest,layer_count,total_size_mb,avg_layer_size_mb,layer_size_std_mb,layer_size_max_mb,layer_size_min_mb,layer_size_skew,layer_size_cv,compressed_ratio,compressed_total_mb,lang_c,lang_java,lang_python,lang_go,lang_js,lang_other,lang_source,env_var_count,env_has_java,env_has_python,env_has_node,env_has_go,env_has_rust,env_path_segments,entrypoint_token_count,has_entrypoint,has_shell_cmd,cmd_token_count,exposed_port_count,exposes_http,exposes_db_port,exposes_jmx,architecture,arch_amd64,os,image_age_days,label_count,has_oci_labels,has_maintainer_label,repo_tag_count,has_latest_tag,working_dir_set,has_healthcheck,has_volumes,has_user,stop_signal,docker_version,startup_cpu_p50_m,startup_cpu_p95_m,startup_cpu_p99_m,startup_cpu_max_m,startup_cpu_mean_m,startup_sample_count,startup_duration_s,cpu_p50_millicores,cpu_p75_millicores,cpu_p90_millicores,cpu_p95_millicores,cpu_p99_millicores,cpu_max_millicores,cpu_mean_millicores,cpu_min_millicores,cpu_rampup_p50_m,cpu_rampup_p99_m,cpu_sustained_p50_m,cpu_sustained_p95_m,cpu_sustained_p99_m,cpu_burst_p50_m,cpu_burst_p99_m,cpu_request_recommended,cpu_limit_recommended,cpu_headroom_ratio,cpu_startup_ratio,sample_count,startup_sample_count,carbon_kg_co2eq,energy_wh,mean_power_w,load_duration_s,load_proto,benchmark_mode,worker_id,k6_rampup_vus,k6_sustained_vus,k6_burst_vus,collected_at
public.ecr.aws/docker/library/rabbitmq:3-management-alpine,3-management-alpine,public.ecr.aws,sha256:606d8c0d6b3c18d1da9afc53bc7cdb2a8d5486df91b5a9830e9e07626c9ae281,10,82.0,8.2,11.514,37.9,0.0,1.3693,1.4041,0.37,0.0,1.0,0.0,0.0,0.0,0.0,0.0,name,12,0,0,0,0,0,9,0,0,0,0,0,0,0,0,amd64,1,linux,184,0,0,0,980,1,0,0,0,0,SIGTERM,,488.0,488.0,488.0,488.0,488.0,3,31.1,2.5,3.0,3.0,3.0,3.0,3.0,2.5,2.0,2.5,3.0,2.5,3.0,3.0,2.5,3.0,2.5,3.0,1.2,99.9,6,3,9.98158e-05,0.428394,50.02,30.8,mq_rabbit,smoke_5min,4,0,4,4,2026-06-04T11:41:39.115703
public.ecr.aws/docker/library/ubuntu:22.04,22.04,public.ecr.aws,sha256:4f838adc7181d9039ac795a7d0aba05a9bd9ecd480d294483169c5def983b64d,1,28.36,28.36,0.0,28.36,28.36,0.0,0.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,name,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,amd64,1,linux,26,1,1,0,339,1,0,0,0,0,SIGTERM,26.1.3,1.0,1.0,1.0,1.0,0.8,4,30.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,53,4,0.0008764632,3.761645,50.0,270.8,batch,smoke_5min,9,0,1,1,2026-06-04T11:37:39.161236
public.ecr.aws/docker/library/debian:bookworm-slim,bookworm-slim,public.ecr.aws,sha256:0104b334637a5f19aa9c983a91b54c89887c0984081f2068983107a6f6c21eeb,1,26.93,26.93,0.0,26.93,26.93,0.0,0.0,0.37,0.0,1.0,0.0,0.0,0.0,0.0,0.0,name,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,amd64,1,linux,17,0,0,0,2093,1,0,0,0,0,SIGTERM,,0.0,0.0,0.0,0.0,0.0,2,31.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,2,0.0008769695,3.763818,50.0,271.0,batch,smoke_5min,8,0,1,1,2026-06-04T11:37:50.052481
public.ecr.aws/docker/library/influxdb:2,2,public.ecr.aws,sha256:c9acb506f536915c97ff71c971970ad9c2a38b2b8a0d54200ef0ef430f7a37f0,9,105.67,11.74,17.0938,53.89,0.0,1.4207,1.4559,0.37,0.0,0.0,0.0,0.0,0.0,0.0,1.0,name,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,amd64,1,linux,15,0,0,0,375,1,0,0,0,0,SIGTERM,,1.0,1.0,1.0,1.0,1.0,2,31.0,12.0,13.0,21.0,21.4,22.0,22.0,12.2,1.0,1.5,7.6,11.0,13.8,14.0,21.0,22.0,11.0,22.0,1.833,0.091,53,2,0.000886828,3.806129,50.11,273.4,http,smoke_5min,0,10,10,20,2026-06-04T11:41:25.318076
public.ecr.aws/docker/library/mysql:8,8,public.ecr.aws,sha256:c36050afdca850f23cef85703f84c7531a5ae155a11b5ee1c60acb09937c4084,10,227.22,22.72,39.0786,126.27,0.0,1.7154,1.7199,0.37,0.0,1.0,0.0,0.0,0.0,0.0,0.0,name,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,amd64,1,linux,22,0,0,0,258,1,0,0,0,0,SIGTERM,,454.0,454.0,454.0,454.0,454.0,3,31.5,1649.0,1877.0,1890.4,1894.2,1899.0,1899.0,1489.7,3.0,300.0,1325.5,1649.0,1890.1,1891.0,1867.0,1899.0,1649.0,1899.0,1.152,0.275,53,3,0.0011319332,4.858082,63.97,273.4,db_sysbench,smoke_5min,2,0,8,8,2026-06-04T11:41:45.691724
public.ecr.aws/docker/library/mariadb:11,11,public.ecr.aws,sha256:be1ef4fe5f14589325c08a41c76334097ce66c86264b75e1d28342c742782a61,8,99.01,12.38,22.0995,65.6,0.0,1.6793,1.7856,0.37,0.0,1.0,0.0,0.0,0.0,0.0,0.0,name,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,amd64,1,linux,2,10,1,1,647,1,0,0,0,0,SIGTERM,,363.0,363.0,363.0,363.0,272.5,4,30.6,3472.0,4326.0,4333.0,4335.0,4346.0,4346.0,3273.9,1.0,254.0,2685.0,3472.0,4342.1,4346.0,4300.0,4335.0,3472.0,4335.0,1.252,0.105,53,4,0.0014256215,6.118547,80.69,273.0,db_sysbench,smoke_5min,1,0,8,8,2026-06-04T11:41:41.559218
public.ecr.aws/docker/library/redmine:latest,latest,public.ecr.aws,sha256:be492fdb562fcc1490b481c795ac9b498e51f412bfd6499b325e2bef3f19d735,13,248.16,19.09,32.1316,105.05,0.0,1.6977,1.6832,0.37,0.0,0.0,0.0,0.0,0.0,0.0,1.0,name,15,0,0,0,0,0,7,0,0,0,0,0,0,0,0,amd64,1,linux,15,0,0,0,396,1,0,0,0,0,SIGTERM,,2.0,2.0,2.0,2.0,1.5,4,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,53,4,0.0008831706,3.790432,50.0,272.9,batch,smoke_5min,6,0,1,1,2026-06-04T11:41:44.219508
public.ecr.aws/docker/library/wordpress:php8.3-apache,php8.3-apache,public.ecr.aws,sha256:d32999a243ee5051babf8580ff22e7254129fe2f209f3d10aacdc81fdcd33959,24,256.45,10.69,23.7941,112.38,0.0,1.3471,2.2268,0.37,0.0,1.0,0.0,0.0,0.0,0.0,0.0,name,13,0,0,0,0,0,6,0,0,0,0,0,0,0,0,amd64,1,linux,13,0,0,0,4380,1,0,0,0,0,SIGTERM,,1.0,1.0,1.0,1.0,1.0,2,30.7,20.0,28.0,36.0,36.8,38.0,38.0,21.1,1.0,1.0,11.0,20.0,20.0,20.0,34.0,38.0,20.0,38.0,1.9,0.05,53,2,0.0008867237,3.805681,50.2,272.9,http,smoke_5min,5,10,10,20,2026-06-04T11:41:39.114505
public.ecr.aws/docker/library/golang:alpine,alpine,public.ecr.aws,sha256:f23e8b227fb4493eabe03bede4d5a32d04092da71962f1fb79b5f7d1e6c2a17f,5,68.13,13.63,25.3087,64.17,0.0,1.5823,1.8574,0.35,0.0,0.0,0.0,0.0,1.0,0.0,0.0,env,4,0,0,0,1,0,8,0,0,0,0,0,0,0,0,amd64,1,linux,1,0,0,0,3136,1,0,0,0,0,SIGTERM,,0.0,0.0,0.0,0.0,0.0,2,30.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,2,0.0008829221,3.789365,50.0,272.8,batch,smoke_5min,7,0,1,1,2026-06-04T11:41:26.234982
public.ecr.aws/docker/library/alpine:3.19,3.19,public.ecr.aws,sha256:6baf43584bcb78f2e5847d1de515f23499913ac9f12bdf834811a3145eb11ca1,1,3.26,3.26,0.0,3.26,3.26,0.0,0.0,0.37,0.0,1.0,0.0,0.0,0.0,0.0,0.0,name,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,amd64,1,linux,239,0,0,0,168,1,0,0,0,0,SIGTERM,,0.0,0.0,0.0,0.0,0.0,2,30.9,3996.0,3998.0,3998.8,3999.0,3999.0,3999.0,3380.2,0.0,0.0,2705.3,3997.0,3999.0,3999.0,3996.0,3998.0,3997.0,3998.0,1.001,0.0,53,2,0.001442802,6.192283,81.69,272.9,stress_ng,smoke_5min,3,0,4,4,2026-06-04T11:41:47.359038
