elapsed_s,phase,cpu_millicores
0.1,rampup,2.0
5.2,rampup,2.0
10.3,rampup,1.0
15.4,rampup,1.0
20.5,rampup,1.0
25.6,rampup,3.0
30.7,rampup,3.0
35.8,rampup,3.0
40.9,sustained,3.0
46.0,sustained,3.0
51.1,sustained,3.0
56.2,sustained,6.0
61.4,sustained,6.0
66.5,sustained,6.0
71.6,sustained,4.0
76.7,sustained,4.0
81.8,sustained,4.0
86.9,sustained,3.0
92.0,sustained,3.0
97.1,sustained,3.0
102.2,sustained,4.0
107.3,sustained,4.0
112.4,sustained,4.0
117.5,sustained,3.0
122.7,sustained,3.0
127.8,sustained,3.0
132.9,sustained,4.0
138.0,sustained,4.0
143.1,sustained,4.0
148.2,sustained,4.0
153.3,sustained,4.0
158.4,sustained,4.0
163.5,sustained,3.0
168.6,sustained,3.0
173.7,burst,3.0
178.8,burst,4.0
183.9,burst,4.0
189.0,burst,4.0
194.1,burst,6.0
199.2,burst,6.0
204.3,burst,6.0
209.4,burst,6.0
214.6,burst,6.0
219.7,burst,6.0
224.8,burst,4.0
229.9,burst,4.0
235.0,burst,4.0
240.1,burst,4.0
245.2,burst,4.0
250.3,burst,3.0
255.4,burst,3.0
260.5,burst,3.0
265.6,burst,1.0
