elapsed_s,phase,cpu_millicores
0.1,rampup,6.0
5.2,rampup,6.0
10.3,rampup,6.0
15.4,rampup,6.0
20.5,rampup,6.0
25.6,rampup,6.0
30.7,rampup,6.0
35.8,rampup,6.0
41.0,rampup,6.0
46.1,rampup,6.0
51.2,rampup,6.0
56.3,rampup,6.0
61.4,rampup,8.0
66.5,rampup,8.0
71.6,rampup,8.0
76.7,rampup,5.0
81.8,rampup,5.0
86.9,rampup,5.0
92.0,rampup,6.0
97.1,rampup,6.0
102.2,rampup,6.0
107.3,rampup,5.0
112.4,rampup,5.0
117.5,rampup,5.0
122.6,rampup,5.0
127.7,rampup,5.0
132.8,rampup,5.0
137.9,rampup,3.0
143.0,rampup,3.0
148.2,rampup,3.0
153.3,rampup,4.0
158.4,rampup,4.0
163.5,rampup,4.0
168.6,rampup,4.0
173.7,rampup,4.0
178.8,rampup,4.0
183.9,rampup,6.0
189.0,rampup,6.0
194.1,rampup,6.0
199.2,rampup,4.0
204.3,rampup,4.0
209.4,rampup,4.0
214.5,rampup,4.0
219.6,rampup,4.0
224.7,rampup,4.0
229.8,rampup,4.0
234.9,rampup,4.0
240.0,rampup,8.0
245.1,rampup,8.0
250.2,rampup,8.0
255.3,rampup,3.0
260.4,rampup,3.0
265.5,rampup,3.0
270.6,rampup,4.0
275.7,rampup,4.0
280.8,rampup,4.0
285.9,rampup,3.0
291.0,rampup,3.0
296.1,rampup,3.0
