elapsed_s,phase,cpu_millicores
0.1,rampup,2.0
5.2,rampup,2.0
10.3,rampup,2.0
15.4,rampup,2.0
20.5,rampup,53.0
25.6,rampup,53.0
30.7,rampup,53.0
35.8,rampup,43.0
40.9,sustained,43.0
46.0,sustained,43.0
51.1,sustained,39.0
56.3,sustained,39.0
61.4,sustained,39.0
66.5,sustained,38.0
71.6,sustained,38.0
76.7,sustained,38.0
81.8,sustained,32.0
86.9,sustained,32.0
92.0,sustained,32.0
97.1,sustained,38.0
102.2,sustained,38.0
107.3,sustained,38.0
112.4,sustained,60.0
117.5,sustained,60.0
122.6,sustained,60.0
127.7,sustained,85.0
132.8,sustained,85.0
137.9,sustained,85.0
143.0,sustained,39.0
148.1,sustained,39.0
153.3,sustained,39.0
158.4,sustained,26.0
163.5,sustained,26.0
168.6,sustained,26.0
173.7,burst,37.0
178.8,burst,37.0
183.9,burst,43.0
189.0,burst,43.0
194.1,burst,43.0
199.2,burst,38.0
204.3,burst,38.0
209.4,burst,38.0
214.5,burst,21.0
219.6,burst,21.0
224.7,burst,21.0
229.8,burst,31.0
234.9,burst,31.0
240.0,burst,31.0
245.1,burst,33.0
250.2,burst,33.0
255.3,burst,33.0
260.4,burst,4.0
265.5,burst,4.0
