elapsed_s,phase,cpu_millicores
0.1,rampup,1.0
5.3,rampup,1.0
10.4,rampup,1.0
15.6,rampup,1463.0
20.7,rampup,1463.0
25.9,rampup,1463.0
31.0,rampup,3804.0
36.2,sustained,3804.0
41.3,sustained,3804.0
46.4,sustained,3741.0
51.6,sustained,3741.0
56.7,sustained,3727.0
61.9,sustained,3727.0
67.0,sustained,3727.0
72.1,sustained,3727.0
77.2,sustained,3727.0
82.4,sustained,3727.0
87.5,sustained,3728.0
92.7,sustained,3728.0
97.8,sustained,3728.0
103.0,sustained,3691.0
108.1,sustained,3691.0
113.2,sustained,3691.0
118.4,sustained,3739.0
123.5,sustained,3739.0
128.6,sustained,3739.0
133.8,sustained,3713.0
138.9,sustained,3713.0
144.0,sustained,3713.0
149.2,sustained,3750.0
154.3,sustained,3750.0
159.4,sustained,3750.0
164.6,sustained,3731.0
169.7,sustained,3731.0
174.8,burst,3731.0
180.0,burst,3757.0
185.1,burst,3757.0
190.3,burst,3757.0
195.4,burst,3737.0
200.6,burst,3737.0
205.7,burst,3737.0
210.8,burst,3737.0
215.9,burst,3737.0
221.1,burst,3737.0
226.2,burst,3731.0
231.3,burst,3731.0
236.5,burst,3732.0
241.6,burst,3732.0
246.7,burst,3732.0
251.8,burst,1616.0
256.9,burst,1616.0
262.0,burst,1616.0
267.1,burst,1.0
