elapsed_s,phase,cpu_millicores
0.1,rampup,2614.0
5.2,rampup,2614.0
10.3,rampup,712.0
15.4,rampup,712.0
20.5,rampup,712.0
25.6,rampup,230.0
30.7,rampup,230.0
35.8,rampup,131.0
40.9,sustained,131.0
46.0,sustained,131.0
51.1,sustained,106.0
56.2,sustained,106.0
61.3,sustained,106.0
66.4,sustained,89.0
71.5,sustained,89.0
76.6,sustained,89.0
81.8,sustained,109.0
86.9,sustained,109.0
92.0,sustained,109.0
97.1,sustained,102.0
102.2,sustained,102.0
107.3,sustained,102.0
112.4,sustained,150.0
117.5,sustained,150.0
122.6,sustained,150.0
127.7,sustained,122.0
132.8,sustained,122.0
137.9,sustained,122.0
143.0,sustained,120.0
148.1,sustained,120.0
153.2,sustained,120.0
158.3,sustained,55.0
163.4,sustained,55.0
168.5,sustained,55.0
173.6,burst,75.0
178.7,burst,75.0
183.8,burst,75.0
188.9,burst,56.0
194.0,burst,56.0
199.1,burst,56.0
204.2,burst,55.0
209.3,burst,55.0
214.4,burst,55.0
219.5,burst,67.0
224.6,burst,67.0
229.7,burst,67.0
234.8,burst,44.0
239.9,burst,44.0
245.0,burst,44.0
250.1,burst,56.0
255.2,burst,56.0
260.3,burst,56.0
265.4,burst,14.0
