elapsed_s,phase,cpu_millicores
0.1,rampup,1.0
5.3,rampup,1.0
10.4,rampup,1.0
15.5,rampup,1.0
20.6,rampup,1.0
25.8,rampup,1.0
30.9,rampup,6.0
36.0,sustained,6.0
41.1,sustained,6.0
46.3,sustained,13.0
51.4,sustained,13.0
56.6,sustained,13.0
61.7,sustained,15.0
66.8,sustained,15.0
72.0,sustained,15.0
77.1,sustained,14.0
82.2,sustained,14.0
87.4,sustained,14.0
92.5,sustained,15.0
97.7,sustained,15.0
102.8,sustained,15.0
107.9,sustained,15.0
113.1,sustained,15.0
118.2,sustained,15.0
123.4,sustained,15.0
128.5,sustained,15.0
133.7,sustained,15.0
138.8,sustained,14.0
143.9,sustained,14.0
149.1,sustained,14.0
154.2,sustained,14.0
159.4,sustained,14.0
164.5,sustained,15.0
169.6,sustained,15.0
174.8,burst,15.0
179.9,burst,15.0
185.0,burst,15.0
190.2,burst,15.0
195.3,burst,23.0
200.4,burst,23.0
205.5,burst,23.0
210.7,burst,27.0
215.8,burst,27.0
221.0,burst,27.0
226.1,burst,28.0
231.2,burst,28.0
236.3,burst,28.0
241.4,burst,29.0
246.5,burst,29.0
251.6,burst,29.0
256.7,burst,25.0
261.8,burst,25.0
266.9,burst,25.0
