elapsed_s,phase,cpu_millicores
0.1,rampup,4.0
5.2,rampup,4.0
10.3,rampup,5.0
15.4,rampup,5.0
20.5,rampup,4.0
25.6,rampup,4.0
30.7,rampup,4.0
35.8,rampup,7.0
40.9,rampup,7.0
46.0,rampup,7.0
51.1,rampup,6.0
56.2,rampup,6.0
61.3,rampup,6.0
66.4,rampup,6.0
71.5,rampup,6.0
76.6,rampup,6.0
81.7,rampup,7.0
86.9,rampup,7.0
92.0,rampup,7.0
97.1,rampup,5.0
102.2,rampup,5.0
107.3,rampup,5.0
112.4,rampup,5.0
117.5,rampup,5.0
122.6,rampup,5.0
127.7,rampup,5.0
132.8,rampup,5.0
137.9,rampup,5.0
143.0,rampup,3.0
148.1,rampup,3.0
153.2,rampup,3.0
158.3,rampup,3.0
163.4,rampup,3.0
168.5,rampup,3.0
173.6,rampup,6.0
178.7,rampup,6.0
183.8,rampup,6.0
188.9,rampup,5.0
194.0,rampup,5.0
199.1,rampup,5.0
204.2,rampup,3.0
209.3,rampup,3.0
