elapsed_s,phase,cpu_millicores
0.1,rampup,0.0
5.2,rampup,0.0
10.3,rampup,1.0
15.4,rampup,1.0
20.5,rampup,1.0
25.6,rampup,2.0
30.7,rampup,2.0
35.8,rampup,2.0
40.9,sustained,3.0
46.0,sustained,3.0
51.1,sustained,3.0
56.3,sustained,5.0
61.4,sustained,5.0
66.5,sustained,5.0
71.6,sustained,4.0
76.7,sustained,4.0
81.8,sustained,4.0
86.9,sustained,3.0
92.0,sustained,3.0
97.1,sustained,3.0
102.2,sustained,3.0
107.3,sustained,3.0
112.4,sustained,3.0
117.5,sustained,3.0
122.6,sustained,3.0
127.7,sustained,3.0
132.8,sustained,3.0
137.9,sustained,3.0
143.0,sustained,3.0
148.1,sustained,2.0
153.2,sustained,2.0
158.4,sustained,2.0
163.5,sustained,4.0
168.6,sustained,4.0
173.7,burst,3.0
178.8,burst,3.0
183.9,burst,3.0
189.0,burst,4.0
194.1,burst,4.0
199.2,burst,4.0
204.3,burst,6.0
209.4,burst,6.0
214.5,burst,6.0
219.6,burst,5.0
224.7,burst,5.0
229.8,burst,5.0
234.9,burst,4.0
240.0,burst,4.0
245.1,burst,4.0
250.2,burst,4.0
255.3,burst,4.0
260.4,burst,4.0
265.5,burst,0.0
