elapsed_s,phase,cpu_millicores
0.2,rampup,31.0
5.3,rampup,1.0
10.5,rampup,1.0
15.6,rampup,1.0
20.8,rampup,1.0
25.9,rampup,1.0
31.0,rampup,1.0
36.1,sustained,4.0
41.3,sustained,4.0
46.4,sustained,4.0
51.5,sustained,9.0
56.7,sustained,9.0
61.8,sustained,9.0
67.0,sustained,12.0
72.1,sustained,12.0
77.2,sustained,12.0
82.4,sustained,11.0
87.5,sustained,11.0
92.7,sustained,11.0
97.8,sustained,13.0
103.0,sustained,13.0
108.1,sustained,13.0
113.3,sustained,13.0
118.4,sustained,13.0
123.5,sustained,13.0
128.6,sustained,13.0
133.7,sustained,13.0
138.8,sustained,12.0
143.9,sustained,12.0
149.0,sustained,12.0
154.1,sustained,11.0
159.2,sustained,11.0
164.3,sustained,11.0
169.4,sustained,12.0
174.5,burst,12.0
179.6,burst,12.0
184.7,burst,17.0
189.8,burst,17.0
194.9,burst,17.0
200.0,burst,23.0
205.1,burst,23.0
210.2,burst,23.0
215.3,burst,22.0
220.5,burst,22.0
225.6,burst,22.0
230.7,burst,22.0
235.8,burst,22.0
240.9,burst,22.0
246.0,burst,24.0
251.1,burst,24.0
256.2,burst,24.0
261.3,burst,16.0
266.4,burst,16.0
