elapsed_s,phase,cpu_millicores
0.1,rampup,0.0
5.3,rampup,0.0
10.4,rampup,0.0
15.6,rampup,0.0
20.7,rampup,0.0
25.8,rampup,0.0
31.0,rampup,2878.0
36.1,sustained,2878.0
41.3,sustained,2878.0
46.4,sustained,3999.0
51.6,sustained,3999.0
56.7,sustained,3999.0
61.9,sustained,3999.0
67.1,sustained,3999.0
72.2,sustained,3999.0
77.4,sustained,3998.0
82.6,sustained,3998.0
87.7,sustained,3998.0
92.9,sustained,3998.0
98.0,sustained,3998.0
103.2,sustained,3998.0
108.3,sustained,3996.0
113.5,sustained,3996.0
118.7,sustained,3996.0
123.8,sustained,3997.0
129.0,sustained,3997.0
134.2,sustained,3997.0
139.3,sustained,3997.0
144.5,sustained,3997.0
149.7,sustained,3997.0
154.8,sustained,3996.0
160.0,sustained,3996.0
165.2,sustained,3996.0
170.3,sustained,3996.0
175.5,burst,3996.0
180.7,burst,3996.0
185.9,burst,3996.0
191.0,burst,3996.0
196.2,burst,3994.0
201.4,burst,3994.0
206.5,burst,3994.0
211.7,burst,3995.0
216.8,burst,3995.0
222.0,burst,3995.0
227.1,burst,3998.0
232.2,burst,3998.0
237.3,burst,3998.0
242.4,burst,3998.0
247.5,burst,3998.0
252.6,burst,3998.0
257.7,burst,2213.0
262.8,burst,2213.0
267.9,burst,2213.0
